"namePlayer,ids"
perez-tyson,t4676edK
montero-jose,0YlaT4t3
abromaitis-tim,MLAJIYnk
cvetkovic-aleksandar,KvkW1amB
huertas-marcelo,6ZXvLgvp
shermadini-giorgi,d2NaKecr
bertans-dairis,OMQuxXOR
cook-elgin,4KKgjNXa
fitipaldo-bruno,OAhUo1US
rodriguez-sergio,4ITGPYH1
gray-joshua,2eo5BkJc
guerra-fran,GWsReuE3
gerun-volodymyr,YkSaQmSe
maronka-zsombor,SzzxiPK4
diagne-moussa,tOz2GgJ5
doornekamp-aaron,vTsVATcS
pasecniks-anzejs,C0Ce4Byp
almazan-pablo,I1NSYH6j
baez-eulis,fuANw4Tr
fischer-luke,AibTNUFg
johnson-bj,noHqHC7r
riga-louis,vRJVavvj
