Number,Name,ID,Status
23,Cook E.,4KKgjNXa,Starter
42,Doornekamp A.,vTsVATcS,Starter
3,Fernandez J.,t4tFyDeD,Starter
6,Fitipaldo B.,OAhUo1US,Starter
19,Shermadini G.,d2NaKecr,Starter
23,Geben M.,jm9NhApr,Starter
3,Harding J.,riOas1WP,Starter
5,Jou Coll G.,b7kxMvNp,Starter
55,Perez D.,WSagtysr,Starter
22,Vaulet J.,M1nqr5o3,Starter
21,Abromaitis T.,MLAJIYnk,Substitute
31,Bolmaro L.,OQhdGy62,Substitute
12,Diagne M.,tOz2GgJ5,Substitute
35,Guerra F.,GWsReuE3,Substitute
9,Huertas M.,6ZXvLgvp,Substitute
4,Rodriguez S.,4ITGPYH1,Substitute
10,Salin S.,42oW2uEi,Substitute
0,Badio B.,nNezr6cT,Substitute
17,Ferrari F.,KrcCF12j,Substitute
6,Garcia D.,j7zRmlV0,Substitute
21,Olumuyiwa B.,WOP661cb,Substitute
00,Robinson D.,KE7Z4LcG,Substitute
12,Steinbergs M.,SQuAt4dP,Substitute
1,Waczynski A.,StEqStwD,Substitute
,Vidorreta T.,hzO54Rzd,Substitute
,Martinez Sanchez P.,48E7Ncxt,Substitute
