Local,Stats,Visitor,Game ID
65,Field Goals Attempted,76
37,Field Goals Made,35
56.9%,Field Goals %,46.1%
47,2-Point Field G. Attempted,43
29,2-Point Field Goals Made,24
61.7%,2-Point Field Goals %,55.8%
18,3-Point Field G. Attempted,33
8,3-Point Field Goals Made,11
44.4%,3-Point Field Goals %,33.3%
30,Free Throws Attempted,9
17,Free Throws Made,7
56.7%,Free Throws %,77.8%
4,Offensive Rebounds,10
32,Defensive Rebounds,27
36,Total Rebounds,37
23,Assists,16
0,Blocks,3
12,Turnovers,18
10,Steals,9
17,Personal Fouls,26
