Player,Player_Id,Team,Pts,Reb,Ast,Min,Fgm,Fga,2pm,2pa,3pm,3pa,Ftm,Fta,+/-,or,dr,pf,st,to,bs,ba,tfs,game_id,team_number
Yusta S.,SCQuNlVa,BAS,19,4,3,25:30,-,-,2,6,4,7,3,5,30,-,4,1,1,1,-,1,-,p82pHHOm,0
Harding J.,riOas1WP,MAN,15,1,-,20:23,-,-,3,6,2,2,3,3,-24,-,1,2,-,1,-,-,-,p82pHHOm,0
Sant-Roos H.,W0aDw0lJ,BAS,12,4,7,25:01,-,-,3,4,1,1,3,4,12,-,4,2,4,1,-,-,-,p82pHHOm,0
Vaulet J.,M1nqr5o3,MAN,12,3,2,16:03,-,-,6,8,-,4,-,2,-5,1,2,2,-,3,1,-,-,p82pHHOm,0
Wright C.,0hZdKSFe,BAS,12,1,1,23:45,-,-,2,5,2,2,2,2,12,-,1,1,2,1,-,1,-,p82pHHOm,0
Jovic S.,pxskGqk1,BAS,11,1,5,22:29,-,-,5,6,-,-,1,4,4,-,1,3,1,-,-,-,-,p82pHHOm,0
Cruz-Uceda I.,I9TMzIhT,BAS,9,5,4,17:29,-,-,2,2,1,3,2,4,25,1,4,1,-,1,-,-,-,p82pHHOm,0
Ferrari F.,KrcCF12j,MAN,9,2,3,09:52,-,-,3,4,1,4,-,-,3,-,2,2,-,1,-,-,-,p82pHHOm,0
Hlinason T.,Yy0lDJQe,BAS,9,7,-,18:14,-,-,4,5,-,-,1,2,18,1,6,2,-,3,-,-,-,p82pHHOm,0
Mekowulu C.,vHiEJyM1,BAS,9,8,1,18:16,-,-,3,5,-,-,3,6,8,1,7,2,-,1,-,-,-,p82pHHOm,0
Perez D.,WSagtysr,MAN,9,2,5,15:37,-,-,-,4,3,6,-,-,-10,2,-,1,1,2,-,-,-,p82pHHOm,0
Ponitka M.,2uj8hHs3,BAS,8,2,2,16:39,-,-,3,6,-,-,2,2,-1,1,1,1,-,1,-,1,-,p82pHHOm,0
Simanic B.,z9GuqbNq,BAS,8,1,-,20:19,-,-,4,4,-,4,-,1,-6,-,1,3,-,2,-,-,-,p82pHHOm,0
Steinbergs M.,SQuAt4dP,MAN,6,2,-,10:20,-,-,3,3,-,1,-,-,-5,1,1,1,-,1,-,-,-,p82pHHOm,0
Badio B.,nNezr6cT,MAN,5,4,1,21:28,-,-,1,1,1,2,-,-,2,1,3,1,2,1,1,-,-,p82pHHOm,0
Garcia D.,j7zRmlV0,MAN,5,-,2,12:19,-,-,1,2,1,2,-,-,-12,-,-,2,-,-,-,-,-,p82pHHOm,0
Robinson D.,KE7Z4LcG,MAN,5,2,-,21:45,-,-,1,6,1,4,-,-,-14,-,2,3,1,5,-,-,-,p82pHHOm,0
Geben M.,jm9NhApr,MAN,4,4,-,14:51,-,-,2,3,-,-,-,-,-6,2,2,3,-,3,1,-,-,p82pHHOm,0
Jou Coll G.,b7kxMvNp,MAN,4,7,1,20:38,-,-,1,1,-,2,2,2,-5,1,6,2,1,-,-,-,-,p82pHHOm,0
Olumuyiwa B.,WOP661cb,MAN,2,1,-,12:37,-,-,1,1,-,-,-,-,-8,-,1,3,-,-,-,-,-,p82pHHOm,0
Waczynski A.,StEqStwD,MAN,2,4,-,13:07,-,-,1,3,-,4,-,-,-11,1,3,4,1,1,-,-,-,p82pHHOm,0
Nguirane M. M.,vwyKs9V6,BAS,-,-,-,01:18,-,-,-,1,-,-,-,-,-7,-,-,-,-,-,-,-,-,p82pHHOm,0
