Name,Home,Away,Time,MatchId,MatchNumber
-,0,2,+2,jTVz15Yk,0
-,1,2,+1,jTVz15Yk,0
-,2,2,-,jTVz15Yk,0
-,2,4,+2,jTVz15Yk,0
+1,5,4,-,jTVz15Yk,0
-,5,6,+1,jTVz15Yk,0
+2,8,6,-,jTVz15Yk,0
-,8,8,-,jTVz15Yk,0
-,8,10,+2,jTVz15Yk,0
-,8,12,+4,jTVz15Yk,0
-,11,12,+1,jTVz15Yk,0
-,11,14,+3,jTVz15Yk,0
-,11,17,+6,jTVz15Yk,0
-,13,17,+4,jTVz15Yk,0
-,15,17,+2,jTVz15Yk,0
-,17,17,-,jTVz15Yk,0
-,17,19,+2,jTVz15Yk,0
+1,20,19,-,jTVz15Yk,0
+4,23,19,-,jTVz15Yk,0
+6,25,19,-,jTVz15Yk,0
+5,25,20,-,jTVz15Yk,0
+4,25,21,-,jTVz15Yk,0
+5,26,21,-,jTVz15Yk,0
+6,27,21,-,jTVz15Yk,0
+4,27,23,-,jTVz15Yk,0
