"namePlayer, team, pts, reb, ast, mins, fgm, fga, two_pm,two_pa, three_pm, three_pa, ftm, fta, valoracion, offensiverebounds,deffensiverebounds, personalFours, steals, turnovers,blockedShot, blockedAgains, technicalFouls, playerId, matchId "
Harding J.,MAN,24,2,1,18:48,-,-,9,13,-,2,6,6,-1,-,2,2,-,1,-,-,-,riOas1WP,jTVz15Yk
Heidegger M.,BAS,22,1,4,25:15,-,-,5,5,4,7,-,3,-6,1,-,4,-,2,-,-,-,KMIU5C49,jTVz15Yk
Costello M.,BAS,15,2,1,16:27,-,-,3,4,3,6,-,-,20,-,2,1,1,2,3,-,-,bacFCeC8,jTVz15Yk
Enoch S.,BAS,14,4,2,27:03,-,-,5,6,-,1,4,6,-1,1,3,-,2,-,-,1,-,bLeCXYBp,jTVz15Yk
Robinson D.,MAN,14,8,2,23:53,-,-,7,9,-,-,-,-,-6,3,5,3,2,2,-,-,-,KE7Z4LcG,jTVz15Yk
Badio B.,MAN,10,1,4,19:45,-,-,4,5,-,1,2,4,-8,-,1,-,-,-,-,-,-,nNezr6cT,jTVz15Yk
Geben M.,MAN,10,2,-,15:01,-,-,2,3,-,1,6,7,-,-,2,2,-,-,1,-,-,jm9NhApr,jTVz15Yk
Diez D.,BAS,9,4,3,25:35,-,-,-,-,3,6,-,-,3,-,4,1,-,2,-,-,-,KOCb0Tzg,jTVz15Yk
Giedraitis R.,BAS,9,-,-,07:22,-,-,2,2,1,1,2,2,1,-,-,-,1,-,-,-,-,6NgZ86t8,jTVz15Yk
Kurucs A.,BAS,9,-,2,19:12,-,-,-,-,3,5,-,-,10,-,-,2,1,-,-,-,-,tQNxqPm5,jTVz15Yk
Marinkovic V.,BAS,9,3,1,13:28,-,-,1,1,1,6,4,5,16,2,1,2,1,1,-,-,-,6PS5pNL2,jTVz15Yk
Perez D.,MAN,8,1,4,20:13,-,-,1,1,2,2,-,-,-5,-,1,3,2,2,-,-,-,WSagtysr,jTVz15Yk
Vaulet J.,MAN,8,2,-,16:07,-,-,4,6,-,1,-,-,-9,-,2,4,1,3,1,1,-,M1nqr5o3,jTVz15Yk
Thompson D.,BAS,6,3,5,13:00,-,-,2,3,-,1,2,2,18,1,2,3,1,2,-,-,-,G6vjnxhp,jTVz15Yk
Howard M.,BAS,5,1,5,16:59,-,-,-,2,1,6,2,2,3,-,1,2,-,3,-,1,-,xUarr8mb,jTVz15Yk
Raieste S.,BAS,5,6,1,24:44,-,-,1,1,1,3,-,-,3,1,5,2,1,1,-,-,-,xh9pUkBn,jTVz15Yk
Garcia D.,MAN,4,3,1,20:29,-,-,-,3,1,3,1,2,-13,1,2,3,-,-,-,2,-,j7zRmlV0,jTVz15Yk
Kotsar M.,BAS,4,4,-,10:55,-,-,-,1,-,-,4,4,8,2,2,-,-,-,-,-,-,hKXDZBmP,jTVz15Yk
Sagnia M.,MAN,4,4,1,15:36,-,-,2,3,-,-,-,-,3,-,4,-,-,1,-,-,-,xMLJ2LbR,jTVz15Yk
Jou Coll G.,MAN,3,2,1,15:03,-,-,-,1,1,3,-,-,-10,1,1,1,-,-,-,-,-,b7kxMvNp,jTVz15Yk
Steinbergs M.,MAN,3,-,-,26:27,-,-,-,1,1,1,-,-,-16,-,-,1,-,-,-,-,-,SQuAt4dP,jTVz15Yk
Olumuyiwa B.,MAN,2,3,-,09:59,-,-,1,1,-,-,-,-,-,-,3,4,-,4,-,-,-,WOP661cb,jTVz15Yk
Waczynski A.,MAN,2,1,-,11:40,-,-,1,2,-,2,-,1,-13,-,1,1,-,2,-,-,-,StEqStwD,jTVz15Yk
